feature,type,task,window_tag,n,r_MOT,p_MOT,r_partial_MOT,p_partial_MOT,r_COG,p_COG,r_partial_COG,p_partial_COG,r_MOT_V4,p_MOT_V4,r_partial_MOT_V4,p_partial_MOT_V4,r_COG_V1,p_COG_V1,r_partial_COG_V1,p_partial_COG_V1,abs_r_MOT,abs_r_partial_MOT,abs_r_COG,abs_r_partial_COG,abs_r_MOT_V4,abs_r_partial_MOT_V4,abs_r_COG_V1,abs_r_partial_COG_V1
z_re,z,6,T6W40,252,0.024789632239331737,0.6953338819454025,0.02678748592480813,0.6727688210299423,-0.051629958425249235,0.41446019570801845,-0.03245431735959388,0.6088319999104534,-0.004627275930004863,0.9417337663312427,-0.0014192373259182807,0.9821506374072032,-0.10140814068512802,0.10828633541869905,-0.09340279757687356,0.1400459575883771,0.024789632239331737,0.02678748592480813,0.051629958425249235,0.03245431735959388,0.004627275930004863,0.0014192373259182807,0.10140814068512802,0.09340279757687356
z_pe,z,6,T6W40,252,-0.023214573402761625,0.7138150565101629,-0.02447230990908817,0.6996175293329983,0.009107222153589983,0.8856134827728841,-0.003934782143626229,0.9505407353224656,-0.006501601251799056,0.918202915050726,-0.00859136513471194,0.8922672336325659,-0.023402263607612876,0.711603733571979,-0.029274487866963992,0.644383247857955,0.023214573402761625,0.02447230990908817,0.009107222153589983,0.003934782143626229,0.006501601251799056,0.00859136513471194,0.023402263607612876,0.029274487866963992
z_l1,z,6,T6W40,252,-0.0442615175846443,0.4842524501335428,-0.0431389100268647,0.49628020344658347,0.028613979161468763,0.6512206278115821,0.04262396013518128,0.5014402257135337,-0.08940859293098478,0.15704016932913858,-0.08755074656778028,0.1667268819254312,-0.01568363983823734,0.8043297736031133,-0.010080879761256333,0.8737334737942855,0.0442615175846443,0.0431389100268647,0.028613979161468763,0.04262396013518128,0.08940859293098478,0.08755074656778028,0.01568363983823734,0.010080879761256333
z_l2,z,6,T6W40,252,-0.06339114568455492,0.31619453698158817,-0.06873690772526717,0.27799019514108814,0.07754899743146194,0.21990527141026128,0.036249918141932985,0.5675740482255951,-0.056889293287845345,0.36847785199998323,-0.06503619728778319,0.3047450222437818,0.02034199425039974,0.7479474770977884,0.0015459170581666464,0.980557721423523,0.06339114568455492,0.06873690772526717,0.07754899743146194,0.036249918141932985,0.056889293287845345,0.06503619728778319,0.02034199425039974,0.0015459170581666464
z_l3,z,6,T6W40,252,0.07274054782786471,0.2499362474380742,0.07460399547299562,0.2389195235568882,-0.13356842161247284,0.03406541645674759,-0.11956430611856454,0.05854554122797256,0.07216848914263198,0.2536899934285551,0.075212388683033,0.23510025355262348,-0.09316593327934415,0.14026096015794448,-0.0862410573882585,0.1731870920918038,0.07274054782786471,0.07460399547299562,0.13356842161247284,0.11956430611856454,0.07216848914263198,0.075212388683033,0.09316593327934415,0.0862410573882585
z_lsc,z,6,T6W40,252,-0.04495804110160263,0.4773954301113109,-0.046725263778282546,0.4611375722502235,-0.050209513811134115,0.42743454598505154,-0.0693584674903619,0.27365743840109386,-0.043430214510960866,0.4925053119761193,-0.04636068673117938,0.4646457304961811,0.0032477584976034713,0.9590861650934687,-0.0043641233194461875,0.9451520612202927,0.04495804110160263,0.046725263778282546,0.050209513811134115,0.0693584674903619,0.043430214510960866,0.04636068673117938,0.0032477584976034713,0.0043641233194461875
z_atd,z,6,T6W40,252,-0.0026023954473380997,0.9672110503385349,-0.00687528896627512,0.9136921711108564,0.13159669145387412,0.03682179037775086,0.09148116968136166,0.14842085989719564,-0.034787037265083365,0.5825608288455996,-0.042752323470666424,0.5001513324136206,-0.0003470669133599497,0.9956259189746252,-0.020261824654013504,0.7493942835961591,0.0026023954473380997,0.00687528896627512,0.13159669145387412,0.09148116968136166,0.034787037265083365,0.042752323470666424,0.0003470669133599497,0.020261824654013504
z_density,z,6,T6W40,252,0.011914830355555035,0.8507132909535742,0.009566434830535746,0.8801273635558168,0.025955052413829727,0.6817734307134309,0.00011358974489224599,0.9985712949130058,0.014831977842677481,0.8147577876241842,0.010779859919384783,0.8650592430629175,0.07497525179383395,0.23564287950676044,0.06436553592886272,0.30976968908834795,0.011914830355555035,0.009566434830535746,0.025955052413829727,0.00011358974489224599,0.014831977842677481,0.010779859919384783,0.07497525179383395,0.06436553592886272
z_diameter,z,6,T6W40,252,0.031741732536558646,0.6160153161474671,0.03335155611926707,0.5989598486638082,-0.014866334664301728,0.8143364666338654,0.001340441359637397,0.9831414819824125,0.05835969190341636,0.3562093978596844,0.06114975769983999,0.33461401134537644,-0.05661710054226667,0.3707772670666708,-0.04987978990453787,0.4314048913224605,0.031741732536558646,0.03335155611926707,0.014866334664301728,0.001340441359637397,0.05835969190341636,0.06114975769983999,0.05661710054226667,0.04987978990453787
z_asp,z,6,T6W40,252,0.03400430812047125,0.5910788110593574,0.03572064441724913,0.5732466664854811,-0.023189601797344587,0.7141094469029726,-0.006249621543807846,0.9215198969792193,0.05493102047724614,0.38521730731122644,0.05787944671376598,0.36115233500347016,-0.0662725987783851,0.2946538099358145,-0.05921001151833482,0.35020046512445197,0.03400430812047125,0.03572064441724913,0.023189601797344587,0.006249621543807846,0.05493102047724614,0.05787944671376598,0.0662725987783851,0.05921001151833482
z_cc,z,6,T6W40,252,-0.006849273010779392,0.9138453402526385,-0.008976674043953843,0.8874668771894032,-0.02925842961356262,0.643899904150635,-0.05305396488940111,0.402633635886706,0.012281178810647464,0.8461792333558646,0.008775361558598923,0.8899744206658277,0.02150773781734418,0.7340322958462394,0.011854349300174977,0.8517568144507326,0.006849273010779392,0.008976674043953843,0.02925842961356262,0.05305396488940111,0.012281178810647464,0.008775361558598923,0.02150773781734418,0.011854349300174977
