subject,edges_T2W30,diameter_T2W30,asp_T2W30,y_true,y_pred
CDMS-10-4A-JURAN,0.06404077940535657,0.0,0.0,2,3.0
CDMS-10-5A-HEPIHO,0.005292375829366591,0.0,0.0,3,2.94125159642401
CDMS-10-5A-KSRAGU,0.06404077940535657,0.0,0.0,2,3.0
CDMS-10-5A-SROPU,0.06404077940535657,0.0,0.0,3,3.0
CDMS-10-5A-SZURO,-0.17999105083337064,0.0,0.0,2,2.755968169761273
CDMS-10-5B-SRAJA,0.06404077940535657,0.0,0.0,1,3.0
CDMS-10-5C-DAAUSA,0.06404077940535657,0.0,0.0,1,3.0
CDMS-10-5C-ICAPA,-0.26354542749119503,0.0,0.0,3,2.6724137931034484
CDMS-10-5C-JFALGI,0.06404077940535657,0.0,0.0,6,3.0
CDMS-10-5C-NBEMO,-0.22436047451313712,0.0,0.0,1,2.7115987460815063
CDMS-10-6B-ASCACO,0.019070996255694528,0.0,0.0,2,2.955030216850338
CDMS-10-6B-JJMOBE,-0.26041063125295016,0.0,0.0,4,2.6755485893416933
CDMS-11-5A-EAARCA,0.06404077940535657,0.0,0.0,3,3.0
CDMS-11-5A-MGTHAR,0.006117493857119793,0.0,0.0,3,2.942076714451763
CDMS-11-6A-DFVEBE,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6A-NMREPR,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-ARAHE,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6B-AVROTO,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-EAFESA,0.06404077940535657,0.0,0.0,6,3.0
CDMS-11-6B-EFRGR,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6B-EROCO,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-JACUPE,0.00015189051646746776,0.0,0.0,1,2.936111111111111
CDMS-11-6B-JDCHBA,-0.006946874915631174,0.0,0.0,0,2.9290123456790123
CDMS-11-6B-JFSAHE,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-6B-JLPENA,-0.5352930763940167,0.0,0.0,0,2.4006661442006267
CDMS-11-6B-JMARME,0.021761367640651397,0.0,0.0,4,2.957720588235295
CDMS-11-6B-JPSAMA,0.06404077940535657,0.0,0.0,6,3.0
CDMS-11-6B-LESTA,-0.21104465085248725,0.0,0.0,3,2.724914569742156
CDMS-11-6B-MEBRTA,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-6B-MMAMO,0.06404077940535657,0.0,0.0,3,3.0
CDMS-11-6B-RSECA,0.06404077940535657,0.0,0.0,5,3.0
CDMS-11-6B-SCAPA,0.06404077940535657,0.0,0.0,3,3.0
CDMS-11-6B-VZAPE,0.06404077940535657,0.0,0.0,5,3.0
CDMS-11-6B-YLNIME,0.06404077940535657,0.0,0.0,2,3.0
CDMS-11-7C-ICARE,0.06404077940535657,0.0,0.0,3,3.0
CDMS-11-7C-SALMA,0.06404077940535657,0.0,0.0,4,3.0
CDMS-11-7C-SPGAVE,-0.24099900839305244,0.0,0.0,2,2.694960212201591
CDMS-12-5A-SRIGO,0.06404077940535657,0.0,0.0,4,3.0
CDMS-12-6A-FAROPA,0.06404077940535657,0.0,0.0,6,3.0
CDMS-12-6A-JGIGA,0.06404077940535657,0.0,0.0,2,3.0
CDMS-12-6A-SROAL,0.06404077940535657,0.0,0.0,3,3.0
CDMS-12-6B-IJDAGA,0.06404077940535657,0.0,0.0,2,3.0
CDMS-12-6B-SCLAG,-0.007468547898204392,0.0,0.0,3,2.928490672696439
CDMS-12-7C-ARAHE,-0.3325109447325745,0.0,0.0,6,2.603448275862069
CDMS-12-7C-CATRAR,0.06404077940535657,0.0,0.0,3,3.0
CDMS-12-7C-DLOLO,0.06404077940535657,0.0,0.0,3,3.0
CDMS-12-7C-JSZAOR,-0.0872750100683275,0.0,0.0,2,2.848684210526316
CDMS-12-7C-MAROBE,0.06404077940535657,0.0,0.0,3,3.0
CDMS-12-7C-VMAPA,0.06404077940535657,0.0,0.0,2,3.0
CDMS-12-7C-VQURA,0.06404077940535657,0.0,0.0,2,3.0
CDMS-13-6B-ASUMO,-0.3325109447325745,0.0,0.0,1,2.603448275862069
CDMS-13-6B-JDTAHE,-0.06071706639084651,0.0,0.0,3,2.875242154203797
CDMS-13-7C-MVEAR,0.06404077940535657,0.0,0.0,4,3.0
CDMS-13-7C-RAIZAC,0.06404077940535657,0.0,0.0,3,3.0
CDMS-13-7C-SSOSLO,0.06404077940535657,0.0,0.0,3,3.0
CDMS-14-10A-IMORTO,0.06404077940535657,0.0,0.0,4,3.0
CDMS-14-10A-JCVANI,0.06404077940535657,0.0,0.0,4,3.0
CDMS-14-6B-KDCAHE,-0.2549247378360229,0.0,0.0,0,2.6810344827586206
CDMS-15-10A-AMALOS,0.06404077940535657,0.0,0.0,3,3.0
CDMS-15-10A-JJMACH,0.06404077940535657,0.0,0.0,3,3.0
CDMS-15-10A-MAALCA,0.06404077940535657,0.0,0.0,3,3.0
CDMS-15-10A-MAALRI,0.004558020784667605,0.0,0.0,3,2.940517241379311
CDMS-15-10A-SGOMO,0.06404077940535657,0.0,0.0,4,3.0
CDMS-15-10A-SHEGA,-0.0013001296855508215,0.0,0.0,3,2.9346590909090926
CDMS-15-11B-JEMOLO,-0.07970922059464369,0.0,0.0,3,2.8562499999999997
CDMS-15-11B-VSAHO,0.06404077940535657,0.0,0.0,3,3.0
CDMS-16-10A-SGALO,0.06404077940535657,0.0,0.0,2,3.0
CDMS-16-11B-NGABE,0.06404077940535657,0.0,0.0,4,3.0
CDMS-17-10A-ASSAMO,0.06404077940535657,0.0,0.0,4,3.0
CDMS-18-7C-VVECA,0.06404077940535657,0.0,0.0,4,3.0
CDMS-8-4A-DJAVDA,0.06404077940535657,0.0,0.0,3,3.0
CDMS-8-4A-DOSTR,0.06404077940535657,0.0,0.0,3,3.0
CDMS-8-4A-LGOPA,-0.20032703668659924,0.0,0.0,2,2.735632183908044
CDMS-8-4C-JDBUTU,-0.7081915254948248,0.0,0.0,1,2.2277676950998186
CDMS-9-4A-ACDUTR,-0.08205722422440731,0.0,0.0,3,2.853901996370236
CDMS-9-4A-CARGA,0.06404077940535657,0.0,0.0,5,3.0
CDMS-9-4A-CRAAG,0.06404077940535657,0.0,0.0,2,3.0
CDMS-9-4A-EROHI,0.06404077940535657,0.0,0.0,3,3.0
CDMS-9-4A-ILOSE,-0.01211816099199492,0.0,0.0,2,2.9238410596026485
CDMS-9-4A-TGAFR,-0.20858853093947127,0.0,0.0,2,2.727370689655172
CDMS-9-4C-SCAMO,-0.005656190291613239,0.0,0.0,0,2.93030303030303
CDMS-9-5A-ABERO,0.06404077940535657,0.0,0.0,1,3.0
CDMS-9-5A-VVAAR,0.06404077940535657,0.0,0.0,4,3.0
CDMS-9-5C-JDMADE,0.009016855960381598,0.0,0.0,5,2.944976076555025
CDMS-9-5C-LVIZAC,-0.075783816966978,0.0,0.0,5,2.8601754036276654
CDMS-9-5C-MLOGO,0.06404077940535657,0.0,0.0,3,3.0
CDMS-9-5C-SCAAG,-0.3325109447325745,0.0,0.0,3,2.603448275862069
CDMS-XX-10A-VGILO,0.015407077388440715,0.0,0.0,2,2.951366297983084
CDMS-XX-5C-MPCAQU,0.06404077940535657,0.0,0.0,3,3.0
CDMS-XX-6B-SPUCA,0.05691709573820969,0.0,0.0,6,2.992876316332853
CSO-10-4A-KCOMO,-0.06814312864062,0.0,0.0,4,2.8678160919540234
CSO-10-4A-LRAVI,0.06404077940535657,0.0,0.0,2,3.0
CSO-10-4A-LSCAVA,0.06404077940535657,0.0,0.0,3,3.0
CSO-10-5A-ACAVA,-0.2554036650390885,0.0,0.0,3,2.680555555555555
CSO-10-5A-ARACA,0.06404077940535657,0.0,0.0,1,3.0
CSO-10-5A-DABRZA,-0.004821496043745821,0.0,0.0,2,2.9311377245508976
CSO-10-5A-GZAMA,0.0523774934013006,0.0,0.0,1,2.988336713995944
CSO-10-5A-IPECA,0.06404077940535657,0.0,0.0,2,3.0
CSO-10-5A-JANORO,0.034960319635239934,0.0,0.0,3,2.9709195402298834
CSO-10-5A-JBUVE,0.06404077940535657,0.0,0.0,4,3.0
CSO-10-5A-JJSEMO,-0.2705497378360229,0.0,0.0,3,2.6654094827586206
CSO-10-5A-JLCARI,0.03817871043983789,0.0,0.0,2,2.9741379310344813
CSO-10-5A-MAARAN,0.06404077940535657,0.0,0.0,3,3.0
CSO-10-5A-RVMOIB,0.0011992493507122504,0.0,0.0,1,2.9371584699453557
CSO-10-5A-SVHEES,-0.004006557872750172,0.0,0.0,3,2.9319526627218933
CSO-11-5A-MDVOSPE,0.06404077940535657,0.0,0.0,3,3.0
CSO-11-5A-MTAGA,-0.3280046751400967,0.0,0.0,3,2.6079545454545467
CSO-11-6A-CAPAMU,0.004762428889892423,0.0,0.0,5,2.940721649484536
CSO-11-6A-DSCACH,0.06404077940535657,0.0,0.0,4,3.0
CSO-11-6A-EROMO,-0.01063454526996832,0.0,0.0,3,2.925324675324675
CSO-11-6A-FSOVRE,-0.1973228569582801,0.0,0.0,2,2.7386363636363633
CSO-11-6B-ANREVA,0.06404077940535657,0.0,0.0,4,3.0
CSO-11-6B-DISEMO,-0.9730944991092334,0.0,0.0,2,1.96286472148541
CSO-11-6B-LHFDLACH,0.06404077940535657,0.0,0.0,2,3.0
CSO-11-6B-RJGIHE,0.06404077940535657,0.0,0.0,6,3.0
CSO-11-6B-SFLVA,0.06404077940535657,0.0,0.0,2,3.0
CSO-11-6B-VCOMA,0.06404077940535657,0.0,0.0,5,3.0
CSO-12-6A-DGISE,-0.5307868068015402,0.0,0.0,2,2.405172413793103
CSO-12-6A-FJOVRE,-0.03866326425626365,0.0,0.0,2,2.8972959563383798
CSO-12-6B-GQULO,0.06404077940535657,0.0,0.0,5,3.0
CSO-12-6B-LJHEFE,0.028171779232077032,0.0,0.0,4,2.9641309998267205
CSO-12-7A-DALRE,0.06404077940535657,0.0,0.0,2,3.0
CSO-12-7A-ESALA,0.06404077940535657,0.0,0.0,2,3.0
CSO-12-7A-IMERO,0.06404077940535657,0.0,0.0,4,3.0
CSO-12-7A-JHEZA,0.06404077940535657,0.0,0.0,3,3.0
CSO-12-7A-LSARAR,-0.10251094473257494,0.0,0.0,2,2.8334482758620685
CSO-12-7A-SCAHO,0.00503010617054489,0.0,0.0,4,2.9409893267651883
CSO-12-7B-DVAGRO,0.06404077940535657,0.0,0.0,3,3.0
CSO-12-7B-SMUGU,0.015083776425365514,0.0,0.0,2,2.951042997020009
CSO-12-7B-SSARA,0.06404077940535657,0.0,0.0,2,3.0
CSO-12-7B-VHOMA,0.06404077940535657,0.0,0.0,5,3.0
CSO-12-8A-YTOME,0.06404077940535657,0.0,0.0,4,3.0
CSO-13-6A-ANASA,-0.002051174617633933,0.0,0.0,5,2.9339080459770095
CSO-13-6B-JETAVE,-0.07500982516249,0.0,0.0,4,2.8609493954321534
CSO-13-6B-LFMIES,-0.2980281861118854,0.0,0.0,6,2.637931034482758
CSO-13-6B-LJMAHU,-0.23579101201600672,0.0,0.0,2,2.7001682085786367
CSO-13-7A-CAPAMU,-0.024420759056180685,0.0,0.0,1,2.9115384615384627
CSO-13-7A-CDDITR,0.06404077940535657,0.0,0.0,5,3.0
CSO-13-7A-JJATFL,-0.07227387576705713,0.0,0.0,2,2.8636853448275863
CSO-13-7A-KRAMA,-0.3325109447325745,0.0,0.0,1,2.603448275862069
CSO-13-7A-RXCHLU,0.06404077940535657,0.0,0.0,4,3.0
CSO-13-7A-YAMEZA,0.06404077940535657,0.0,0.0,3,3.0
CSO-13-8A-KIGAGU,0.06404077940535657,0.0,0.0,3,3.0
CSO-13-8A-MBUAN,-0.5848620419112582,0.0,0.0,2,2.351097178683385
CSO-13-8A-MGAAN,-0.036722363613298725,0.0,0.0,3,2.8992368569813447
CSO-13-8A-MGAHE,0.06404077940535657,0.0,0.0,4,3.0
CSO-13-8A-MJAGA,0.06404077940535657,0.0,0.0,4,3.0
CSO-13-8A-VHODU,-0.01990082643405966,0.0,0.0,2,2.9160583941605838
CSO-13-8B-FCJISA,-0.002051174617633933,0.0,0.0,1,2.9339080459770095
CSO-13-8B-JEMABE,-0.061695133126182355,0.0,0.0,2,2.874264087468461
CSO-13-9B-DMLLLU,-0.5053668244850043,0.0,0.0,2,2.430592396109639
CSO-14-7B-EVEGO,0.06404077940535657,0.0,0.0,3,3.0
CSO-14-8A-AQUMA,-0.04760970603153858,0.0,0.0,4,2.888349514563105
CSO-14-8A-SZARA,-0.050901749330276136,0.0,0.0,2,2.8850574712643673
CSO-14-8B-JLLORA,0.06404077940535657,0.0,0.0,6,3.0
CSO-14-9A-AEDCAGO,-0.08929255392797675,0.0,0.0,3,2.8466666666666667
CSO-14-9A-HASACA,0.011401170006515748,0.0,0.0,5,2.947360390601159
CSO-14-9A-JSMAAL,0.06404077940535657,0.0,0.0,4,3.0
CSO-14-9A-MARJA,0.06404077940535657,0.0,0.0,3,3.0
CSO-14-9A-SORZU,-0.059615134573138384,0.0,0.0,3,2.876344086021505
CSO-14-9B-ERAGA,0.06404077940535657,0.0,0.0,3,3.0
CSO-14-9B-MFEGA,0.06404077940535657,0.0,0.0,2,3.0
CSO-15-10A-LJRAGU,-0.12148049504513692,0.0,0.0,1,2.8144787255495065
CSO-15-10A-MAARLO,-0.15826852049015105,0.0,0.0,3,2.7776907001044924
CSO-15-10A-SFEGA,-0.16256020581631914,0.0,0.0,4,2.7733990147783243
CSO-15-10B-MEBUAR,0.06404077940535657,0.0,0.0,3,3.0
CSO-15-10B-YVBUAN,0.06404077940535657,0.0,0.0,5,3.0
CSO-15-10C-ALBAHO,0.06404077940535657,0.0,0.0,2,3.0
CSO-15-10C-SSCAMO,0.06404077940535657,0.0,0.0,4,3.0
CSO-15-11C-JETALO,0.06404077940535657,0.0,0.0,2,3.0
CSO-15-7B-JCRAGA,0.06404077940535657,0.0,0.0,3,3.0
CSO-15-8A-VBMABR,0.06404077940535657,0.0,0.0,5,3.0
CSO-15-8B-KEPOGO,0.06404077940535657,0.0,0.0,2,3.0
CSO-15-9B-ALRIHE,0.06404077940535657,0.0,0.0,3,3.0
CSO-15-9B-AMSAGO,0.06404077940535657,0.0,0.0,3,3.0
CSO-15-9B-JCAPA,-0.012711167201985507,0.0,0.0,1,2.923248053392658
CSO-15-9B-KSBEJA,-0.1402434421202443,0.0,0.0,4,2.795715778474399
CSO-15-9B-RMCHLU,0.06404077940535657,0.0,0.0,1,3.0
CSO-16-10A-JEGAHE,-0.3325109447325745,0.0,0.0,1,2.603448275862069
CSO-16-10A-MSACO,0.06404077940535657,0.0,0.0,2,3.0
CSO-16-10A-YKMUJO,0.06404077940535657,0.0,0.0,1,3.0
CSO-16-10B-JESUGU,0.009965544295638562,0.0,0.0,0,2.945924764890282
CSO-16-10B-LTVIFA,0.06404077940535657,0.0,0.0,3,3.0
CSO-16-10B-VVILI,0.06404077940535657,0.0,0.0,3,3.0
CSO-16-10C-ACALGU,-0.07205389515085647,0.0,0.0,4,2.863905325443787
CSO-16-10C-MAVAVE,0.06404077940535657,0.0,0.0,2,3.0
CSO-16-11A-JAVABO,0.06404077940535657,0.0,0.0,4,3.0
CSO-16-11A-JDMUVA,0.06404077940535657,0.0,0.0,6,3.0
CSO-16-11A-VZAOR,0.06404077940535657,0.0,0.0,6,3.0
CSO-16-11B-KRORE,0.06404077940535657,0.0,0.0,4,3.0
CSO-16-11B-LLOZA,-0.00290951168286524,0.0,0.0,4,2.933049708911778
CSO-16-11B-YAROMO,0.015517572654301759,0.0,0.0,3,2.951476793248945
CSO-16-9A-JALEMO,0.06404077940535657,0.0,0.0,6,3.0
CSO-16-9A-JPROSO,0.06404077940535657,0.0,0.0,3,3.0
CSO-16-9A-JSMAGU,0.06404077940535657,0.0,0.0,5,3.0
CSO-16-9B-SJPAJI,0.01447181388811547,0.0,0.0,3,2.950431034482759
CSO-17-10A-YVGOCA,-0.011167306207009897,0.0,0.0,5,2.9247919143876335
CSO-17-10B-EHECO,-0.07793452923662025,0.0,0.0,2,2.858024691358023
CSO-17-10B-YCQUVE,-0.2626779367082843,0.0,0.0,2,2.673281283886359
CSO-17-11A-DJAPA,-0.20633539614323348,0.0,0.0,4,2.72962382445141
CSO-17-11A-JDAMO,0.06404077940535657,0.0,0.0,3,3.0
CSO-17-11A-NPAHE,0.06404077940535657,0.0,0.0,4,3.0
CSO-17-11A-RLPAIG,0.06404077940535657,0.0,0.0,2,3.0
CSO-17-11A-SPUVA,0.06404077940535657,0.0,0.0,4,3.0
CSO-17-11B-CDBEBU,-0.2599028825664744,0.0,0.0,2,2.676056338028169
CSO-17-11C-JDAAG,0.06404077940535657,0.0,0.0,3,3.0
CSO-17-11C-MAPAMA,0.015483425429283049,0.0,0.0,3,2.9514426460239265
CSO-17-11C-MCAAG,0.06404077940535657,0.0,0.0,2,3.0
CSO-17-11C-SARJA,0.06404077940535657,0.0,0.0,4,3.0
CSO-18-11A-ADBAHO,0.06404077940535657,0.0,0.0,2,3.0
CSO-18-11B-YLLRE,0.06404077940535657,0.0,0.0,1,3.0
CSO-18-9B-MAMOLO,0.030117475570548446,0.0,0.0,3,2.966076696165192
CSO-8-3A-DAPAVA,-0.044963959931135555,0.0,0.0,1,2.890995260663508
CSO-8-3A-KVPECO,-0.9359592205946434,0.0,0.0,2,2.0
CSO-8-4A-ARAGR,-0.07247702726507921,0.0,0.0,3,2.863482193329564
CSO-8-4A-JRAAR,-0.8990134077867618,0.0,0.0,2,2.0369458128078817
CSO-9-2A-EXMOCO,-0.17922204296497268,0.0,0.0,1,2.7567371776296707
CSO-9-4A-AGAPE,0.06404077940535657,0.0,0.0,3,3.0
CSO-9-4A-DKVIMO,0.06404077940535657,0.0,0.0,1,3.0
CSO-9-4A-DSMOMU,0.06404077940535657,0.0,0.0,4,3.0
CSO-9-4A-DVGATO,0.06404077940535657,0.0,0.0,2,3.0
CSO-9-4A-FAGIGA,0.06404077940535657,0.0,0.0,4,3.0
CSO-9-4A-GSBRCO,0.06404077940535657,0.0,0.0,3,3.0
CSO-9-4A-KEMOCO,-0.07667112270810295,0.0,0.0,1,2.8592880978865405
CSO-9-4A-LCOMO,0.06404077940535657,0.0,0.0,5,3.0
CSO-9-4A-MLORO,-0.020934590052771984,0.0,0.0,3,2.9150246305418714
CSO-9-4A-MPAME,0.06404077940535657,0.0,0.0,5,3.0
CSO-9-4A-NSARPA,-0.1421661171463673,0.0,0.0,3,2.793793103448276
CSO-9-4A-SLOCA,0.06404077940535657,0.0,0.0,3,3.0
CSO-9-4A-YVDITR,0.06404077940535657,0.0,0.0,5,3.0
